"Año","Región","Diferencia_Hombres_Mujeres","Abreviatura","Latitud","Longitud"
2010,"Región Metropolitana de Santiago","24,0576635764884","RM","-33,5739341","-70,6205518"
2010,"Región de Antofagasta","30,8888125143649","AN","-23,6041314","-69,0842783"
2010,"Región de Arica y Parinacota","22,1901402586317","AP","-18,5713496","-69,7884774"
2010,"Región de Atacama","33,3120046649907","AT","-27,5571783","-70,0156882"
2010,"Región de Aysén del Gral. Carlos Ibáñez del Campo","24,9091995299224","AI","-45,57","-72,06611"
2010,"Región de Coquimbo","29,7414831264628","CO","-30,7546652","-70,9005536"
2010,"Región de La Araucanía","29,0374218796663","AR","-38,6678955","-72,2610066"
2010,"Región de Los Lagos","28,2410394540621","LL","-42,300844","-73,105387"
2010,"Región de Los Ríos","26,740271206744","LR","-39,9742911","-72,667478"
2010,"Región de Magallanes y La Antártica Chilena","24,2600975625353","MA","-53,1330959","-70,9251585"
2010,"Región de Tarapacá","24,7252933164109","TA","-20,1636672","-69,5463448"
2010,"Región de Valparaíso","26,0912517261424","VA","-32,5976089","-70,8529753"
2010,"Región de Ñuble","27,71068747411","NB","-36,6331577","-71,9384821"
2010,"Región del Biobío","27,3752776567052","BI","-37,3391407","-72,4106825"
2010,"Región del Libertador Gral. Bernardo O'Higgins","30,401920062137","LI","-34,371944","-71,124528"
2010,"Región del Maule","31,4708329070946","ML","-35,5972284","-71,48868"
2010,"Total país","26,5712725460328","CH","-30,619625","-70,940955"
2011,"Región Metropolitana de Santiago","23,1467093970506","RM","-33,5739341","-70,6205518"
2011,"Región de Antofagasta","31,1632086054204","AN","-23,6041314","-69,0842783"
2011,"Región de Arica y Parinacota","23,6160849632723","AP","-18,5713496","-69,7884774"
2011,"Región de Atacama","31,9656354723689","AT","-27,5571783","-70,0156882"
2011,"Región de Aysén del Gral. Carlos Ibáñez del Campo","21,6404337780771","AI","-45,57","-72,06611"
2011,"Región de Coquimbo","27,0242922746733","CO","-30,7546652","-70,9005536"
2011,"Región de La Araucanía","28,3734898197636","AR","-38,6678955","-72,2610066"
2011,"Región de Los Lagos","28,1076899236498","LL","-42,300844","-73,105387"
2011,"Región de Los Ríos","28,2889113776668","LR","-39,9742911","-72,667478"
2011,"Región de Magallanes y La Antártica Chilena","23,9889802022989","MA","-53,1330959","-70,9251585"
2011,"Región de Tarapacá","23,5197160597823","TA","-20,1636672","-69,5463448"
2011,"Región de Valparaíso","25,3034208070543","VA","-32,5976089","-70,8529753"
2011,"Región de Ñuble","29,8266384551343","NB","-36,6331577","-71,9384821"
2011,"Región del Biobío","25,8450122205475","BI","-37,3391407","-72,4106825"
2011,"Región del Libertador Gral. Bernardo O'Higgins","28,5595513724702","LI","-34,371944","-71,124528"
2011,"Región del Maule","29,7415186406929","ML","-35,5972284","-71,48868"
2011,"Total país","25,6787954102656","CH","-30,619625","-70,940955"
2012,"Región Metropolitana de Santiago","22,4083779612536","RM","-33,5739341","-70,6205518"
2012,"Región de Antofagasta","32,4804200378338","AN","-23,6041314","-69,0842783"
2012,"Región de Arica y Parinacota","25,2710211257844","AP","-18,5713496","-69,7884774"
2012,"Región de Atacama","31,3476559869662","AT","-27,5571783","-70,0156882"
2012,"Región de Aysén del Gral. Carlos Ibáñez del Campo","20,934498657671","AI","-45,57","-72,06611"
2012,"Región de Coquimbo","28,1877747913994","CO","-30,7546652","-70,9005536"
2012,"Región de La Araucanía","27,7099859175158","AR","-38,6678955","-72,2610066"
2012,"Región de Los Lagos","28,2229545545422","LL","-42,300844","-73,105387"
2012,"Región de Los Ríos","28,6377230976262","LR","-39,9742911","-72,667478"
2012,"Región de Magallanes y La Antártica Chilena","26,3026249238591","MA","-53,1330959","-70,9251585"
2012,"Región de Tarapacá","21,041611183824","TA","-20,1636672","-69,5463448"
2012,"Región de Valparaíso","24,0478329998853","VA","-32,5976089","-70,8529753"
2012,"Región de Ñuble","27,0554363645945","NB","-36,6331577","-71,9384821"
2012,"Región del Biobío","26,0712685932775","BI","-37,3391407","-72,4106825"
2012,"Región del Libertador Gral. Bernardo O'Higgins","27,3572340420313","LI","-34,371944","-71,124528"
2012,"Región del Maule","29,7756781566819","ML","-35,5972284","-71,48868"
2012,"Total país","25,1894604682524","CH","-30,619625","-70,940955"
2013,"Región Metropolitana de Santiago","21,4428472189852","RM","-33,5739341","-70,6205518"
2013,"Región de Antofagasta","33,4073917188117","AN","-23,6041314","-69,0842783"
2013,"Región de Arica y Parinacota","21,1305650231623","AP","-18,5713496","-69,7884774"
2013,"Región de Atacama","28,0393590160787","AT","-27,5571783","-70,0156882"
2013,"Región de Aysén del Gral. Carlos Ibáñez del Campo","19,6285799324421","AI","-45,57","-72,06611"
2013,"Región de Coquimbo","26,2370104144201","CO","-30,7546652","-70,9005536"
2013,"Región de La Araucanía","26,721969394552","AR","-38,6678955","-72,2610066"
2013,"Región de Los Lagos","27,950674074289","LL","-42,300844","-73,105387"
2013,"Región de Los Ríos","27,3593656412056","LR","-39,9742911","-72,667478"
2013,"Región de Magallanes y La Antártica Chilena","27,3236686890102","MA","-53,1330959","-70,9251585"
2013,"Región de Tarapacá","21,9675839566354","TA","-20,1636672","-69,5463448"
2013,"Región de Valparaíso","22,7310462462085","VA","-32,5976089","-70,8529753"
2013,"Región de Ñuble","25,6165174504033","NB","-36,6331577","-71,9384821"
2013,"Región del Biobío","25,6238401046715","BI","-37,3391407","-72,4106825"
2013,"Región del Libertador Gral. Bernardo O'Higgins","27,4625576212867","LI","-34,371944","-71,124528"
2013,"Región del Maule","26,4162204544114","ML","-35,5972284","-71,48868"
2013,"Total país","24,1589570438344","CH","-30,619625","-70,940955"
2014,"Región Metropolitana de Santiago","19,9212945442179","RM","-33,5739341","-70,6205518"
2014,"Región de Antofagasta","30,8302041471761","AN","-23,6041314","-69,0842783"
2014,"Región de Arica y Parinacota","21,4855043624299","AP","-18,5713496","-69,7884774"
2014,"Región de Atacama","25,900561608501","AT","-27,5571783","-70,0156882"
2014,"Región de Aysén del Gral. Carlos Ibáñez del Campo","18,8287115827423","AI","-45,57","-72,06611"
2014,"Región de Coquimbo","24,4250900140693","CO","-30,7546652","-70,9005536"
2014,"Región de La Araucanía","23,9971987295785","AR","-38,6678955","-72,2610066"
2014,"Región de Los Lagos","25,8552331405777","LL","-42,300844","-73,105387"
2014,"Región de Los Ríos","25,3806019295954","LR","-39,9742911","-72,667478"
2014,"Región de Magallanes y La Antártica Chilena","26,8995638451235","MA","-53,1330959","-70,9251585"
2014,"Región de Tarapacá","25,9319198436631","TA","-20,1636672","-69,5463448"
2014,"Región de Valparaíso","23,3257501347148","VA","-32,5976089","-70,8529753"
2014,"Región de Ñuble","24,7305978339726","NB","-36,6331577","-71,9384821"
2014,"Región del Biobío","23,7585382614086","BI","-37,3391407","-72,4106825"
2014,"Región del Libertador Gral. Bernardo O'Higgins","26,6236386491672","LI","-34,371944","-71,124528"
2014,"Región del Maule","27,2278511697412","ML","-35,5972284","-71,48868"
2014,"Total país","22,9966759850805","CH","-30,619625","-70,940955"
2015,"Región Metropolitana de Santiago","21,6880353209216","RM","-33,5739341","-70,6205518"
2015,"Región de Antofagasta","25,5401182720683","AN","-23,6041314","-69,0842783"
2015,"Región de Arica y Parinacota","21,4396680024527","AP","-18,5713496","-69,7884774"
2015,"Región de Atacama","25,1792677259814","AT","-27,5571783","-70,0156882"
2015,"Región de Aysén del Gral. Carlos Ibáñez del Campo","19,6014607803424","AI","-45,57","-72,06611"
2015,"Región de Coquimbo","24,8650556607809","CO","-30,7546652","-70,9005536"
2015,"Región de La Araucanía","25,2750786493609","AR","-38,6678955","-72,2610066"
2015,"Región de Los Lagos","25,0571825991441","LL","-42,300844","-73,105387"
2015,"Región de Los Ríos","24,1134222487767","LR","-39,9742911","-72,667478"
2015,"Región de Magallanes y La Antártica Chilena","22,9156493780671","MA","-53,1330959","-70,9251585"
2015,"Región de Tarapacá","21,3545960892222","TA","-20,1636672","-69,5463448"
2015,"Región de Valparaíso","22,4893308431725","VA","-32,5976089","-70,8529753"
2015,"Región de Ñuble","27,7217904734586","NB","-36,6331577","-71,9384821"
2015,"Región del Biobío","22,5726238643434","BI","-37,3391407","-72,4106825"
2015,"Región del Libertador Gral. Bernardo O'Higgins","27,0312073496103","LI","-34,371944","-71,124528"
2015,"Región del Maule","26,4853310713838","ML","-35,5972284","-71,48868"
2015,"Total país","23,3066826809672","CH","-30,619625","-70,940955"
2016,"Región Metropolitana de Santiago","21,1825039365009","RM","-33,5739341","-70,6205518"
2016,"Región de Antofagasta","24,886014987522","AN","-23,6041314","-69,0842783"
2016,"Región de Arica y Parinacota","20,1314974721364","AP","-18,5713496","-69,7884774"
2016,"Región de Atacama","22,8441405845595","AT","-27,5571783","-70,0156882"
2016,"Región de Aysén del Gral. Carlos Ibáñez del Campo","17,8257700677905","AI","-45,57","-72,06611"
2016,"Región de Coquimbo","21,3960694906534","CO","-30,7546652","-70,9005536"
2016,"Región de La Araucanía","24,5513742861827","AR","-38,6678955","-72,2610066"
2016,"Región de Los Lagos","23,7808857229035","LL","-42,300844","-73,105387"
2016,"Región de Los Ríos","24,0015651999988","LR","-39,9742911","-72,667478"
2016,"Región de Magallanes y La Antártica Chilena","25,1393650546901","MA","-53,1330959","-70,9251585"
2016,"Región de Tarapacá","16,2137573970838","TA","-20,1636672","-69,5463448"
2016,"Región de Valparaíso","21,7939699804009","VA","-32,5976089","-70,8529753"
2016,"Región de Ñuble","24,6689341572868","NB","-36,6331577","-71,9384821"
2016,"Región del Biobío","22,5717833095529","BI","-37,3391407","-72,4106825"
2016,"Región del Libertador Gral. Bernardo O'Higgins","25,4343979622388","LI","-34,371944","-71,124528"
2016,"Región del Maule","25,5435593507248","ML","-35,5972284","-71,48868"
2016,"Total país","22,4087984262669","CH","-30,619625","-70,940955"
2017,"Región Metropolitana de Santiago","19,4146150970125","RM","-33,5739341","-70,6205518"
2017,"Región de Antofagasta","23,1164241399143","AN","-23,6041314","-69,0842783"
2017,"Región de Arica y Parinacota","22,5236012827284","AP","-18,5713496","-69,7884774"
2017,"Región de Atacama","24,2714545354518","AT","-27,5571783","-70,0156882"
2017,"Región de Aysén del Gral. Carlos Ibáñez del Campo","16,3179595197964","AI","-45,57","-72,06611"
2017,"Región de Coquimbo","22,1942937053799","CO","-30,7546652","-70,9005536"
2017,"Región de La Araucanía","22,0229517350465","AR","-38,6678955","-72,2610066"
2017,"Región de Los Lagos","26,4532572679564","LL","-42,300844","-73,105387"
2017,"Región de Los Ríos","25,4681967341274","LR","-39,9742911","-72,667478"
2017,"Región de Magallanes y La Antártica Chilena","20,7581950441676","MA","-53,1330959","-70,9251585"
2017,"Región de Tarapacá","19,6287416418893","TA","-20,1636672","-69,5463448"
2017,"Región de Valparaíso","21,1264656171124","VA","-32,5976089","-70,8529753"
2017,"Región de Ñuble","24,7721595021665","NB","-36,6331577","-71,9384821"
2017,"Región del Biobío","22,2003008992644","BI","-37,3391407","-72,4106825"
2017,"Región del Libertador Gral. Bernardo O'Higgins","24,504685261406","LI","-34,371944","-71,124528"
2017,"Región del Maule","25,5582347220577","ML","-35,5972284","-71,48868"
2017,"Total país","21,5948601374493","CH","-30,619625","-70,940955"
2018,"Región Metropolitana de Santiago","19,1039578216465","RM","-33,5739341","-70,6205518"
2018,"Región de Antofagasta","23,5460260540555","AN","-23,6041314","-69,0842783"
2018,"Región de Arica y Parinacota","20,2738958180708","AP","-18,5713496","-69,7884774"
2018,"Región de Atacama","22,1215501829186","AT","-27,5571783","-70,0156882"
2018,"Región de Aysén del Gral. Carlos Ibáñez del Campo","14,2134770208859","AI","-45,57","-72,06611"
2018,"Región de Coquimbo","21,8198592840674","CO","-30,7546652","-70,9005536"
2018,"Región de La Araucanía","22,5393069843414","AR","-38,6678955","-72,2610066"
2018,"Región de Los Lagos","25,8934061078097","LL","-42,300844","-73,105387"
2018,"Región de Los Ríos","23,97406604826","LR","-39,9742911","-72,667478"
2018,"Región de Magallanes y La Antártica Chilena","17,2320359033798","MA","-53,1330959","-70,9251585"
2018,"Región de Tarapacá","19,0009032064007","TA","-20,1636672","-69,5463448"
2018,"Región de Valparaíso","21,7409523407501","VA","-32,5976089","-70,8529753"
2018,"Región de Ñuble","26,7792351380704","NB","-36,6331577","-71,9384821"
2018,"Región del Biobío","20,4684046021477","BI","-37,3391407","-72,4106825"
2018,"Región del Libertador Gral. Bernardo O'Higgins","23,3969971312233","LI","-34,371944","-71,124528"
2018,"Región del Maule","24,6865717866611","ML","-35,5972284","-71,48868"
2018,"Total país","21,1649062576067","CH","-30,619625","-70,940955"
2019,"Región Metropolitana de Santiago","18,0663167224787","RM","-33,5739341","-70,6205518"
2019,"Región de Antofagasta","22,8234740440578","AN","-23,6041314","-69,0842783"
2019,"Región de Arica y Parinacota","19,0140332490953","AP","-18,5713496","-69,7884774"
2019,"Región de Atacama","20,4876680121937","AT","-27,5571783","-70,0156882"
2019,"Región de Aysén del Gral. Carlos Ibáñez del Campo","15,2124881721696","AI","-45,57","-72,06611"
2019,"Región de Coquimbo","21,4179047049427","CO","-30,7546652","-70,9005536"
2019,"Región de La Araucanía","22,3404912003654","AR","-38,6678955","-72,2610066"
2019,"Región de Los Lagos","23,724041450874","LL","-42,300844","-73,105387"
2019,"Región de Los Ríos","22,8829155564931","LR","-39,9742911","-72,667478"
2019,"Región de Magallanes y La Antártica Chilena","21,7406648416415","MA","-53,1330959","-70,9251585"
2019,"Región de Tarapacá","19,9426664983162","TA","-20,1636672","-69,5463448"
2019,"Región de Valparaíso","21,278390745719","VA","-32,5976089","-70,8529753"
2019,"Región de Ñuble","23,7527358653869","NB","-36,6331577","-71,9384821"
2019,"Región del Biobío","19,8437933323118","BI","-37,3391407","-72,4106825"
2019,"Región del Libertador Gral. Bernardo O'Higgins","23,2708536211641","LI","-34,371944","-71,124528"
2019,"Región del Maule","23,5266866694564","ML","-35,5972284","-71,48868"
2019,"Total país","20,3177699603611","CH","-30,619625","-70,940955"
2020,"Región Metropolitana de Santiago","18,2735812658114","RM","-33,5739341","-70,6205518"
2020,"Región de Antofagasta","19,573471231563","AN","-23,6041314","-69,0842783"
2020,"Región de Arica y Parinacota","22,3818590638832","AP","-18,5713496","-69,7884774"
2020,"Región de Atacama","23,215662243044","AT","-27,5571783","-70,0156882"
2020,"Región de Aysén del Gral. Carlos Ibáñez del Campo","15,2725841999722","AI","-45,57","-72,06611"
2020,"Región de Coquimbo","19,8590929632096","CO","-30,7546652","-70,9005536"
2020,"Región de La Araucanía","19,0887410163222","AR","-38,6678955","-72,2610066"
2020,"Región de Los Lagos","21,4079519737128","LL","-42,300844","-73,105387"
2020,"Región de Los Ríos","20,5071412258945","LR","-39,9742911","-72,667478"
2020,"Región de Magallanes y La Antártica Chilena","17,9614917399851","MA","-53,1330959","-70,9251585"
2020,"Región de Tarapacá","20,8240668648884","TA","-20,1636672","-69,5463448"
2020,"Región de Valparaíso","19,8550873186566","VA","-32,5976089","-70,8529753"
2020,"Región de Ñuble","26,2559953739163","NB","-36,6331577","-71,9384821"
2020,"Región del Biobío","20,2725131366854","BI","-37,3391407","-72,4106825"
2020,"Región del Libertador Gral. Bernardo O'Higgins","22,3008517831506","LI","-34,371944","-71,124528"
2020,"Región del Maule","23,6112214772448","ML","-35,5972284","-71,48868"
2020,"Total país","19,873896890237","CH","-30,619625","-70,940955"
2021,"Región Metropolitana de Santiago","18,7773621388861","RM","-33,5739341","-70,6205518"
2021,"Región de Antofagasta","21,3512067259445","AN","-23,6041314","-69,0842783"
2021,"Región de Arica y Parinacota","20,6759810317726","AP","-18,5713496","-69,7884774"
2021,"Región de Atacama","22,3768905628567","AT","-27,5571783","-70,0156882"
2021,"Región de Aysén del Gral. Carlos Ibáñez del Campo","16,9686112328302","AI","-45,57","-72,06611"
2021,"Región de Coquimbo","22,3069837885166","CO","-30,7546652","-70,9005536"
2021,"Región de La Araucanía","19,531807849683","AR","-38,6678955","-72,2610066"
2021,"Región de Los Lagos","21,1629981076589","LL","-42,300844","-73,105387"
2021,"Región de Los Ríos","21,8997675739316","LR","-39,9742911","-72,667478"
2021,"Región de Magallanes y La Antártica Chilena","17,7553076170916","MA","-53,1330959","-70,9251585"
2021,"Región de Tarapacá","18,0933770261853","TA","-20,1636672","-69,5463448"
2021,"Región de Valparaíso","20,1477769373254","VA","-32,5976089","-70,8529753"
2021,"Región de Ñuble","25,4763319901647","NB","-36,6331577","-71,9384821"
2021,"Región del Biobío","21,2842435041896","BI","-37,3391407","-72,4106825"
2021,"Región del Libertador Gral. Bernardo O'Higgins","24,2001005079394","LI","-34,371944","-71,124528"
2021,"Región del Maule","24,4819979160059","ML","-35,5972284","-71,48868"
2021,"Total país","20,4597979520535","CH","-30,619625","-70,940955"
2022,"Región Metropolitana de Santiago","18,0759953706021","RM","-33,5739341","-70,6205518"
2022,"Región de Antofagasta","22,760149157973","AN","-23,6041314","-69,0842783"
2022,"Región de Arica y Parinacota","16,9625913201682","AP","-18,5713496","-69,7884774"
2022,"Región de Atacama","20,7713721446738","AT","-27,5571783","-70,0156882"
2022,"Región de Aysén del Gral. Carlos Ibáñez del Campo","14,9814611407923","AI","-45,57","-72,06611"
2022,"Región de Coquimbo","22,0496371765534","CO","-30,7546652","-70,9005536"
2022,"Región de La Araucanía","18,8358560821955","AR","-38,6678955","-72,2610066"
2022,"Región de Los Lagos","20,6329943312957","LL","-42,300844","-73,105387"
2022,"Región de Los Ríos","20,601281553293","LR","-39,9742911","-72,667478"
2022,"Región de Magallanes y La Antártica Chilena","16,280238723284","MA","-53,1330959","-70,9251585"
2022,"Región de Tarapacá","15,9049921419213","TA","-20,1636672","-69,5463448"
2022,"Región de Valparaíso","18,7965564357211","VA","-32,5976089","-70,8529753"
2022,"Región de Ñuble","22,98926197781","NB","-36,6331577","-71,9384821"
2022,"Región del Biobío","18,7929651372674","BI","-37,3391407","-72,4106825"
2022,"Región del Libertador Gral. Bernardo O'Higgins","22,6368538603284","LI","-34,371944","-71,124528"
2022,"Región del Maule","21,8106095912466","ML","-35,5972284","-71,48868"
2022,"Total país","19,3332827749937","CH","-30,619625","-70,940955"
2023,"Región Metropolitana de Santiago","17,3014963252137","RM","-33,5739341","-70,6205518"
2023,"Región de Antofagasta","21,1956506210577","AN","-23,6041314","-69,0842783"
2023,"Región de Arica y Parinacota","14,949764061193","AP","-18,5713496","-69,7884774"
2023,"Región de Atacama","20,9800798580481","AT","-27,5571783","-70,0156882"
2023,"Región de Aysén del Gral. Carlos Ibáñez del Campo","15,2591670945687","AI","-45,57","-72,06611"
2023,"Región de Coquimbo","22,2556483313166","CO","-30,7546652","-70,9005536"
2023,"Región de La Araucanía","19,0423191925055","AR","-38,6678955","-72,2610066"
2023,"Región de Los Lagos","19,7533790939786","LL","-42,300844","-73,105387"
2023,"Región de Los Ríos","20,2120320011606","LR","-39,9742911","-72,667478"
2023,"Región de Magallanes y La Antártica Chilena","15,844663109823","MA","-53,1330959","-70,9251585"
2023,"Región de Tarapacá","17,003274867644","TA","-20,1636672","-69,5463448"
2023,"Región de Valparaíso","18,788076439979","VA","-32,5976089","-70,8529753"
2023,"Región de Ñuble","24,4961369487556","NB","-36,6331577","-71,9384821"
2023,"Región del Biobío","19,3031367354498","BI","-37,3391407","-72,4106825"
2023,"Región del Libertador Gral. Bernardo O'Higgins","23,6534888983555","LI","-34,371944","-71,124528"
2023,"Región del Maule","21,4182129741182","ML","-35,5972284","-71,48868"
2023,"Total país","19,0233727522187","CH","-30,619625","-70,940955"
